Date,Brooks 100SCCM [mLn/min],Brooks 2.5SLM [mLn/min],Bronkhorst 100SCCM [mLn/min], Bronkhorst 2.5SLM[mLn/min]
2024-12-13 12:46:23,12.78,2217.00,14.99992561340332,2250.009775161743
2024-12-13 12:46:28,12.78,2217.00,15.005023956298828,2249.866247177124
2024-12-13 12:46:33,12.68,2217.00,15.00564956665039,2250.0040531158447
2024-12-13 12:46:38,12.68,2219.44,15.002828598022461,2249.833106994629
2024-12-13 12:46:43,12.68,2217.00,15.00537395477295,2249.889612197876
2024-12-13 12:46:48,12.68,2217.00,15.003345489501953,2249.951124191284
2024-12-13 12:46:53,12.78,2226.77,15.008345603942871,2249.992847442627
2024-12-13 12:46:58,12.78,2226.77,15.00564956665039,2249.9005794525146
2024-12-13 12:47:03,12.78,2226.77,15.004085540771484,2249.8087882995605
2024-12-13 12:47:08,12.78,2226.77,15.003445625305176,2249.821662902832
2024-12-13 12:47:13,12.78,2224.32,15.00844955444336,2249.8950958251953
2024-12-13 12:47:18,12.78,2219.44,15.005318641662598,2249.9005794525146
2024-12-13 12:47:23,12.68,2217.00,15.006609916687012,2250.009298324585
2024-12-13 12:47:28,12.78,2214.56,19.59307098388672,1501.9444227218628
2024-12-13 12:47:33,12.68,2217.00,20.005741119384766,1500.4700422286987
2024-12-13 12:47:38,12.68,2219.44,19.995737075805664,1500.1862049102783
2024-12-13 12:47:43,12.68,2217.00,19.993982315063477,1500.0364780426025
2024-12-13 12:47:48,12.68,2217.00,19.997350692749023,1499.9983310699463
2024-12-13 12:47:53,12.68,2217.00,19.993854522705078,1500.0616312026978
2024-12-13 12:47:58,12.78,2217.00,19.989633560180664,1500.0241994857788
2024-12-13 12:48:03,12.68,2217.00,19.99118423461914,1500.079870223999
2024-12-13 12:48:08,12.68,2217.00,19.993576049804688,1500.1386404037476
2024-12-13 12:48:13,12.78,2217.00,19.989025115966797,1500.1275539398193
2024-12-13 12:48:18,12.78,2217.00,19.99006462097168,1500.1165866851807
2024-12-13 12:48:24,12.78,2219.44,19.990081787109375,1500.0851154327393
2024-12-13 12:48:29,12.78,2217.00,19.99419403076172,1500.1486539840698
2024-12-13 12:48:34,12.68,2217.00,19.99106788635254,1500.1133680343628
2024-12-13 12:48:39,12.68,2217.00,19.98695182800293,1500.075340270996
2024-12-13 12:48:44,12.68,2217.00,19.998493194580078,1499.9622106552124
2024-12-13 12:48:49,12.78,2221.88,19.993534088134766,1499.9892711639404
2024-12-13 12:48:54,12.68,2217.00,20.004947662353516,1499.9275207519531
2024-12-13 12:48:59,12.68,2217.00,20.0002498626709,1499.9008178710938
2024-12-13 12:49:04,12.78,2217.00,20.007244110107422,1499.9146461486816
2024-12-13 12:49:09,12.78,2217.00,20.00394630432129,1499.9072551727295
2024-12-13 12:49:14,12.78,2217.00,20.00486946105957,1499.873399734497
2024-12-13 12:49:19,12.68,2217.00,20.005462646484375,1499.8480081558228
2024-12-13 12:49:24,12.78,2226.77,20.01047706604004,1499.8842477798462
2024-12-13 12:49:29,12.78,2226.77,20.007457733154297,1499.8409748077393
2024-12-13 12:49:34,12.88,2226.77,20.01169204711914,1499.9747276306152
2024-12-13 12:49:39,12.78,2229.21,20.007814407348633,1499.8960494995117
2024-12-13 12:49:44,12.68,2217.00,20.0057373046875,1499.9150037765503
2024-12-13 12:49:49,12.68,2217.00,20.00443458557129,1499.8894929885864
2024-12-13 12:49:54,12.68,2217.00,20.00433921813965,1499.9580383300781
2024-12-13 12:49:59,12.68,2217.00,19.995651245117188,1500.0494718551636
2024-12-13 12:50:04,12.78,2217.00,19.99506378173828,1500.0340938568115
2024-12-13 12:50:09,12.68,2217.00,19.997743606567383,1500.0571012496948
2024-12-13 12:50:14,12.68,2217.00,19.994535446166992,1500.052571296692
2024-12-13 12:50:19,12.78,2226.77,19.993816375732422,1500.0947713851929
2024-12-13 12:50:24,12.68,2219.44,19.993337631225586,1500.0734329223633
2024-12-13 12:50:30,12.68,2217.00,19.985544204711914,1500.1598596572876
2024-12-13 12:50:35,12.78,2217.00,19.990631103515625,1500.1267194747925
2024-12-13 12:50:40,12.68,2217.00,19.995468139648438,1500.044584274292
2024-12-13 12:50:45,12.68,2217.00,19.992782592773438,1500.109314918518
2024-12-13 12:50:50,12.78,2221.88,19.993572235107422,1500.1107454299927
2024-12-13 12:50:55,12.68,2217.00,19.996074676513672,1500.1572370529175
2024-12-13 12:51:00,12.68,2217.00,19.995813369750977,1500.0642538070679
2024-12-13 12:51:05,12.68,2217.00,19.992170333862305,1500.0721216201782
2024-12-13 12:51:10,12.68,2217.00,20.000574111938477,1499.9743700027466
2024-12-13 12:51:15,12.68,2217.00,19.99921417236328,1499.882698059082
2024-12-13 12:51:20,12.68,2217.00,20.00877571105957,1499.927282333374
2024-12-13 12:51:25,12.78,2217.00,20.004817962646484,1499.940276145935
2024-12-13 12:51:30,12.68,2217.00,20.0062255859375,1499.9369382858276
2024-12-13 12:51:35,12.78,2217.00,20.012392044067383,1499.8798370361328
2024-12-13 12:51:40,12.68,2217.00,20.001970291137695,1499.8997449874878
2024-12-13 12:51:45,12.78,2217.00,20.010761260986328,1499.8971223831177
2024-12-13 12:51:50,12.68,2217.00,20.008089065551758,1499.9186992645264
2024-12-13 12:51:55,12.68,2226.77,20.005664825439453,1499.8797178268433
2024-12-13 12:52:00,12.78,2226.77,20.00984764099121,1499.9451637268066
2024-12-13 12:52:05,12.78,2226.77,20.008020401000977,1499.8667240142822
2024-12-13 12:52:10,12.78,2226.77,20.005142211914062,1499.8960494995117
2024-12-13 12:52:15,12.78,2226.77,20.007627487182617,1499.9009370803833
2024-12-13 12:52:20,12.78,2217.00,20.0053653717041,1499.9586343765259
2024-12-13 12:52:25,12.78,2219.44,20.00090789794922,1500.016450881958
2024-12-13 12:52:30,12.68,2217.00,19.99131202697754,1500.025749206543
2024-12-13 12:52:36,12.68,2217.00,19.994277954101562,1500.041127204895
2024-12-13 12:52:41,12.68,2217.00,19.99262046813965,1500.0582933425903
